VideoAnalysis: Time (s),X (m) Trial 1,Y (m) Trial 1,X (m) Trial 2,Y (m) Trial 2,X (m) Trial 3,Y (m) Trial 3,Average X Position,Uncertainty X,Average Y Position,Uncertainty Y,,,
7.533333333,-0.01862206,0.225059287,0.007277154,0.232868921,0.044799841,0.080799713,0.011151645,0.031887978,0.179575974,0.085631828,,,
7.6,-0.031097481,0.20789345,0.016737454,0.218314614,0.025599909,0.051999815,0.003746627,0.030499503,0.159402626,0.093159396,,,
7.666666667,-0.041732457,0.197887487,0.025470038,0.213948321,0.003199989,0.046399835,-0.004354143,0.034232186,0.152745214,0.092447241,,,
7.733333333,-0.044295102,0.206313153,0.029108615,0.221225475,-0.017599937,0.066399764,-0.010928808,0.037153794,0.164646131,0.085409928,,,
7.8,-0.041033554,0.228208234,0.031291761,0.240146075,-0.035999872,0.097599653,-0.015247222,0.040382449,0.188651321,0.079078649,,,
7.866666667,-0.032448694,0.247113564,0.027653184,0.254700383,-0.051199818,0.122399565,-0.018665109,0.041193924,0.208071171,0.074290699,,,
7.933333333,-0.022438848,0.253252263,0.024014608,0.256155813,-0.059999787,0.124799556,-0.019474676,0.04208556,0.211402544,0.075014437,,,
8,-0.009672217,0.239006288,0.015282023,0.243784652,-0.063999772,0.10399963,-0.019463322,0.040537638,0.195596857,0.079361496,,,
8.066666667,0.000780267,0.21765868,0.007277154,0.227774914,-0.059999787,0.071199747,-0.017314122,0.037109323,0.172211114,0.087624521,,,
8.133333333,0.013768217,0.200034673,-0.005094008,0.211765175,-0.044799841,0.050399821,-0.012041877,0.029895803,0.154066556,0.089969413,,,
8.2,0.023525681,0.197122577,-0.013098877,0.215403752,-0.023999915,0.051999815,-0.00452437,0.024896027,0.154842048,0.089531804,,,
8.266666667,0.028076317,0.212673171,-0.019648315,0.226319483,0.000799997,0.072799741,0.003076,0.023943585,0.170597465,0.08496971,,,
8.333333333,0.027237633,0.237895808,-0.024742323,0.248150944,0.030399892,0.099199647,0.010965067,0.030963903,0.195082133,0.083194833,,,
8.4,0.023797476,0.253256146,-0.024014608,0.260522106,0.055199804,0.117599582,0.018327557,0.039889482,0.210459278,0.080500875,,,
8.466666667,0.015810567,0.251605958,-0.021831461,0.256883529,0.079199718,0.11519959,0.024392941,0.051059452,0.207896359,0.080321114,,,
8.533333333,0.010242639,0.234191622,-0.016737454,0.242329221,0.088799684,0.097599653,0.027434957,0.054828858,0.191373499,0.081312396,,,
8.6,0.000155137,0.207536233,-0.0094603,0.221225475,0.094399664,0.073599738,0.028364834,0.057389575,0.167453816,0.0815677,,,
8.666666667,-0.008526793,0.194078465,0,0.208854314,0.085599696,0.060799784,0.025690968,0.052057356,0.154577521,0.081549245,,,
8.733333333,-0.019491806,0.199619214,0.006549438,0.214676037,0.063999772,0.06479977,0.017019135,0.042719104,0.15969834,0.082528668,,,
8.8,-0.026201276,0.220601839,0.015282023,0.235779783,0.033599881,0.087999687,0.007560209,0.030639262,0.181460436,0.08129438,,,
8.866666667,-0.02956766,0.246282646,0.026925469,0.251789521,0,0.105599625,-0.00088073,0.028256861,0.201223931,0.08285884,,,
8.933333333,-0.030115134,0.257173886,0.027653184,0.256883529,-0.030399892,0.107999616,-0.010953947,0.03343506,0.207352344,0.086042109,,,
9,-0.028659086,0.246628214,0.030564046,0.248150944,-0.061599781,0.096799656,-0.019898274,0.046702319,0.197192938,0.086946466,,,
9.066666667,-0.024632627,0.2256883,0.026925469,0.234324352,-0.084799698,0.079999716,-0.027502285,0.055917837,0.180004123,0.086713934,,,
9.133333333,-0.017686307,0.202733216,0.025470038,0.217586898,-0.091199676,0.068799755,-0.027805315,0.058989417,0.163039957,0.08195163,,,
9.2,-0.008790823,0.195041398,0.016009738,0.211765175,-0.083999701,0.072799741,-0.025593595,0.052078996,0.159868771,0.075866219,,,
9.266666667,0.000508471,0.204200912,0.004366292,0.221953191,-0.063199775,0.08719969,-0.019441671,0.03794469,0.171117931,0.073215362,,,
9.333333333,0.009986374,0.229140105,-0.002183146,0.24087379,-0.031199889,0.09839965,-0.007798887,0.021159619,0.189471182,0.079088165,,,
9.4,0.017091889,0.250755626,-0.013098877,0.257611244,0,0.104799627,0.001331004,0.015139328,0.204388833,0.086314872,,,
9.466666667,0.023168464,0.254871388,-0.018192884,0.257611244,0.037599866,0.097599653,0.014191815,0.028959332,0.203360762,0.091602051,,,
